pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
CU,2026-04-13,80.5,-2.51,5.99,"Raleigh, Cal",663728,681347,,foul,,,,,11,Foul,R,L,R,SEA,HOU,S,,,2,2,2026,0.73,-1.06,-0.8905656643475212,2.668692476389241,,,,0,3,Bot,,,,,,,2.1239832362333635,-117.2526932759164,1.554635531346221,6.310890072593975,22.753193061356,-42.460941807843646,3.282316273,1.656496063,252.0,90.8,49.0,80.0,2952,5.9,823153,673237,572233,514888,621043,669397,670541,666211,701358,54.56,,,,,,,,21,5,Curveball,3,0,3,0,0,3,3,0,Infield shade,Standard,42,0.0,0.0,73.1,7.5,,0.0,90.8,3,3,0.837,0.837,26,29,27,30,2,1,,,,,4.58,-0.73,0.73,,13.028274297853814,7.54550579590842,29.76616267496464,43.64835469730544,24.31731276499661
CU,2026-04-13,80.5,-2.4,5.94,"Raleigh, Cal",663728,681347,,foul,,,,,14,Foul,R,L,R,SEA,HOU,S,,,2,1,2026,0.99,-1.16,0.8409831056488396,2.1122396232258387,,,,0,3,Bot,,,,,,,5.148578030652016,-117.0959867022068,0.7241190892765363,7.970316709173264,24.794464818013125,-43.11473144584713,3.282316273,1.656496063,,,,79.8,2834,6.1,823153,673237,572233,514888,621043,669397,670541,666211,701358,54.41,,,,,,,,21,4,Curveball,3,0,3,0,0,3,3,0,Infield shade,Standard,44,-0.004,-0.073,72.9,9.0,,0.073,,3,3,0.841,0.841,26,29,27,30,2,1,,,,,4.71,-0.99,0.99,,34.97546742193853,-42.40505231680903,41.12158437649954,25.038065292115306,51.61831601427249
FF,2026-04-13,95.6,-2.49,5.84,"Raleigh, Cal",663728,681347,,ball,,,,,12,Ball,R,L,R,SEA,HOU,B,,,1,1,2026,-0.83,1.41,1.6330733781906015,2.5477442059001074,,,,0,3,Bot,,,,,,,12.608329066293065,-138.52646088000023,-6.0420132762205805,-13.41537152171226,30.139382933337654,-12.81591700860742,3.282316273,1.656496063,,,,95.7,2196,6.5,823153,673237,572233,514888,621043,669397,670541,666211,701358,54.01,,,,,,,,21,3,4-Seam Fastball,3,0,3,0,0,3,3,0,Infield shade,Standard,217,0.003,0.055,,,,-0.055,,3,3,0.838,0.838,26,29,27,30,2,1,,,,,1.1,0.83,-0.83,,,,,,
FF,2026-04-13,96.1,-2.6,5.84,"Raleigh, Cal",663728,681347,,called_strike,,,,,6,Called Strike,R,L,R,SEA,HOU,S,,,1,0,2026,-0.88,1.39,0.6945120649327886,2.62538404203526,,,,0,3,Bot,,,,,,,10.622189358976826,-139.55048536663915,-5.919845678514931,-13.83155886943656,30.6869671204065,-12.820829802117592,3.282316273,1.656496063,,,,96.1,2306,6.3,823153,673237,572233,514888,621043,669397,670541,666211,701358,54.17,,,,,,,,21,2,4-Seam Fastball,3,0,3,0,0,3,3,0,Infield shade,Standard,214,-0.003,-0.05,,,,0.05,,3,3,0.841,0.841,26,29,27,30,2,1,,,,,1.09,0.88,-0.88,,,,,,
FF,2026-04-13,95.5,-2.79,5.85,"Raleigh, Cal",663728,681347,,ball,,,,,11,Ball,R,L,R,SEA,HOU,B,,,0,0,2026,-0.8,1.51,-0.5255107460790712,4.146326032075312,,,,0,3,Bot,,,,,,,7.678590559040226,-138.80548057289795,-2.120456365627037,-12.084272502393771,32.23646608592475,-12.466274757046904,3.282316273,1.656496063,,,,95.0,2310,6.2,823153,673237,572233,514888,621043,669397,670541,666211,701358,54.35,,,,,,,,21,1,4-Seam Fastball,3,0,3,0,0,3,3,0,Infield shade,Standard,216,0.002,0.041,,,,-0.041,,3,3,0.839,0.839,26,29,27,30,2,1,,,,,1.01,0.8,-0.8,,,,,,
CH,2026-04-13,85.6,-1.76,5.27,"Raleigh, Cal",663728,641585,field_out,hit_into_play,,,,,8,Cal Raleigh flies out sharply to center fielder Taylor Trammell.,R,L,R,SEA,HOU,X,8.0,fly_ball,2,1,2026,-1.28,0.62,-0.2557208576396506,1.6597502003966549,,,680977.0,2,8,Bot,106.86,41.81,,,,,6.141177102857317,-124.591267415017,-3.3600332665698973,-14.596580965243035,23.235124242114143,-25.21388615140969,3.282316273,1.656496063,391.0,105.9,33.0,86.0,1998,6.4,823153,673237,572233,514888,694376,621043,670541,666211,701358,54.1,0.806,1.617,0.0,1.0,0.0,0.0,6.0,68,4,Changeup,6,2,6,2,2,6,6,2,Infield shade,Standard,221,-0.001,-0.309,78.8,8.2,3.167,0.309,105.9,4,4,0.986,0.986,31,29,31,30,1,4,,,,,2.47,1.28,-1.28,,15.609838303901864,2.4121567556708303,40.57448724298796,36.54906618926812,29.88338020677065
FF,2026-04-13,92.5,-1.68,5.52,"Raleigh, Cal",663728,641585,,ball,,,,,14,Ball,R,L,R,SEA,HOU,B,,,1,1,2026,-0.15,1.09,0.7924294008714707,1.1774179973365613,,,680977.0,2,8,Bot,,,,,,,6.533661068036538,-134.44421184457934,-7.443174299682301,-3.1943316083886253,27.281338679225453,-17.52604223461343,3.282316273,1.656496063,,,,92.4,2344,6.2,823153,673237,572233,514888,694376,621043,670541,666211,701358,54.34,,,,,,,,68,3,4-Seam Fastball,6,2,6,2,2,6,6,2,Infield shade,Standard,207,0.0,0.054,,,,-0.054,,4,4,0.986,0.986,31,29,31,30,1,4,,,,,1.57,0.15,-0.15,,,,,,
CU,2026-04-13,73.1,-1.56,5.43,"Raleigh, Cal",663728,641585,,ball,,,,,11,Ball,R,L,R,SEA,HOU,B,,,0,1,2026,0.78,-1.47,-1.3702645244353584,3.237241190317655,,,680977.0,2,8,Bot,,,,,,,-0.976905781027921,-106.17761770552072,5.735366076389102,6.019692208096136,18.93479434005077,-44.50278505121877,3.282316273,1.656496063,,,,72.9,2574,6.3,823153,673237,572233,514888,694376,621043,670541,666211,701358,54.17,,,,,,,,68,2,Curveball,6,2,6,2,2,6,6,2,Infield shade,Standard,24,0.0,0.027,,,,-0.027,,4,4,0.986,0.986,31,29,31,30,1,4,,,,,5.76,-0.78,0.78,,,,,,
FC,2026-04-13,86.6,-1.88,5.41,"Raleigh, Cal",663728,641585,,foul,,,,,6,Foul,R,L,R,SEA,HOU,S,,,0,0,2026,0.78,0.42,0.4936531985717696,2.177906022032917,,,680977.0,2,8,Bot,,,,,,,3.97515262130542,-126.1566617084681,-2.2273530567333104,7.595601694942127,24.076670130506336,-27.47446859063162,3.282316273,1.656496063,176.0,101.4,10.0,86.8,2700,6.2,823153,673237,572233,514888,694376,621043,670541,666211,701358,54.3,,,,,,,,68,1,Cutter,6,2,6,2,2,6,6,2,Infield shade,Standard,142,0.0,-0.042,78.8,8.5,,0.042,101.4,4,4,0.986,0.986,31,29,31,30,1,4,,,,,2.6,-0.78,0.78,,27.722741290237877,-20.527922371915828,38.25901001803382,29.100865222064694,42.29120433116647
SL,2026-04-13,89.2,-2.76,5.92,"Raleigh, Cal",663728,681347,single,hit_into_play,,,,,2,Cal Raleigh singles on a fly ball to left fielder Yordan Alvarez.,R,L,R,SEA,HOU,X,7.0,fly_ball,0,0,2026,0.47,0.79,-0.0787358546865594,3.195443765461793,,,,1,1,Bot,90.17,101.97,,,,,5.4821128839029845,-129.8682320282378,-2.194763037733437,4.278002587992872,26.21996441655905,-22.98302944809768,3.282316273,1.656496063,230.0,71.1,27.0,89.3,2494,6.2,823153,673237,572233,514888,621043,669397,670541,666211,701358,54.28,0.957,0.873,0.9,1.0,1.0,0.0,4.0,6,1,Slider,0,0,0,0,0,0,0,0,Infield shade,Standard,189,0.025,0.414,73.7,6.8,1.019,-0.414,88.0,0,0,0.526,0.526,26,29,27,30,1,0,,,,,2.06,-0.47,0.47,,7.85105090093881,16.790441496540573,29.686516139050315,34.031865528478725,23.668577995371763
