pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
FS,2026-04-07,91.4,-1.66,5.42,"Yamamoto, Yoshinobu",660821,808967,,foul,,,,,9,Foul,R,L,R,TOR,LAD,S,,,1,0,2026,-0.9,0.16,0.3896679148768599,1.6716167406553009,,662139.0,665489.0,2,6,Bot,,,,,,,7.108247396780725,-132.89945656806108,-3.678859938026595,-12.175351649859332,29.38530887134131,-29.68062219407493,3.334973753,1.683070866,,,,91.8,1557,6.6,822831,669257,518692,690976,571970,808975,606192,681624,663656,53.87,,,,,,,,48,2,Split-Finger,1,3,1,3,3,1,1,3,Standard,Standard,235,-0.008,-0.052,82.7,8.0,,0.052,,-2,-2,0.259,0.259,27,28,28,29,3,2,6,1,,1,2.58,0.9,-0.9,41.4,20.660898043420463,-27.62625722706204,33.80385568237913,33.69620774517061,48.273082188571735
FS,2026-04-07,91.9,-1.72,5.35,"Yamamoto, Yoshinobu",660821,808967,,ball,,,,,13,Ball,R,L,R,TOR,LAD,B,,,0,0,2026,-1.54,0.51,-0.745781235983721,1.1351864489090246,,662139.0,665489.0,2,6,Bot,,,,,,,5.865328254951594,-133.64235364857544,-5.732550422195786,-19.7761344097996,29.078028225482004,-24.95097601126708,3.334973753,1.683070866,,,,92.1,1462,6.5,822831,669257,518692,690976,571970,808975,606192,681624,663656,54.0,,,,,,,,48,1,Split-Finger,1,3,1,3,3,1,1,3,Standard,Standard,238,0.005,0.024,,,,-0.024,,-2,-2,0.254,0.254,27,28,28,29,3,2,6,1,,1,2.19,1.54,-1.54,38.3,,,,,
FS,2026-04-07,91.7,-1.56,5.39,"Yamamoto, Yoshinobu",665489,808967,force_out,hit_into_play,,,,,9,"Vladimir Guerrero Jr. grounds into a force out, fielded by third baseman Max Muncy. George Springer out at 3rd. Daulton Varsho to 2nd. Vladimir Guerrero Jr. to 1st.",R,R,R,TOR,LAD,X,5.0,ground_ball,0,0,2026,-1.21,-0.09,0.4350265896919398,1.701722110085949,,543807.0,662139.0,1,6,Bot,106.15,182.45,,,,,7.668593921337053,-133.24640048197267,-2.9654005350523653,-16.087151754622518,31.5853281887769,-32.76478619623515,3.208595801,1.619291339,1.0,62.5,-64.0,91.7,1464,6.6,822831,669257,518692,690976,571970,808975,606192,681624,663656,53.88,0.246,0.221,0.0,1.0,0.0,0.0,2.0,47,1,Split-Finger,1,3,1,3,3,1,1,3,Standard,Standard,233,-0.075,-0.314,72.7,7.5,0.246,0.314,88.0,-2,-2,0.329,0.329,27,27,28,27,3,2,6,1,,1,2.83,1.21,1.21,41.6,5.009790647062674,11.435387318815756,29.71532564285005,42.9068939396913,24.5172533453715
FS,2026-04-07,90.9,-1.65,5.28,"Yamamoto, Yoshinobu",662139,808967,walk,ball,,,,,14,Daulton Varsho walks.,R,L,R,TOR,LAD,B,,,3,2,2026,-1.17,-0.07,0.5837409210586975,1.0001302380696029,,543807.0,,1,6,Bot,,,,,,,8.134261810793129,-132.0955455336189,-4.381636078263597,-15.522805053743928,30.30289343664614,-32.14520604236787,3.036581365,1.532480315,,,,91.1,1431,6.6,822831,669257,518692,690976,571970,808975,606192,681624,663656,53.85,,0.709202,0.7,1.0,0.0,0.0,,46,7,Split-Finger,1,3,1,3,3,1,1,3,Standard,Standard,236,0.036,0.212,,,,-0.212,,-2,-2,0.293,0.293,27,29,28,30,3,2,6,1,,1,2.85,1.17,-1.17,38.1,,,,,
FF,2026-04-07,95.9,-1.62,5.48,"Yamamoto, Yoshinobu",662139,808967,,foul,,,,,3,Foul,R,L,R,TOR,LAD,S,,,3,2,2026,-0.62,1.37,0.3733243280811312,2.963274633906617,,543807.0,,1,6,Bot,,,,,,,6.652464570630211,-139.47567166027935,-4.011781148585028,-9.593688394666202,32.82227391580163,-13.557557738988656,3.036581365,1.532480315,114.0,72.0,79.0,96.2,2196,6.6,822831,669257,518692,690976,571970,808975,606192,681624,663656,53.91,,,,,,,,46,6,4-Seam Fastball,1,3,1,3,3,1,1,3,Infield shade,Standard,211,0.0,0.0,70.4,7.2,,0.0,88.0,-2,-2,0.293,0.293,27,29,28,30,3,2,6,1,,1,1.12,0.62,-0.62,40.0,3.8648339045269102,-6.981052081389862,22.159321531493596,32.13950637409246,23.473604763882367
SL,2026-04-07,87.2,-1.62,5.36,"Yamamoto, Yoshinobu",662139,808967,,ball,,,,,14,Ball,R,L,R,TOR,LAD,B,,,2,2,2026,0.41,-0.09,0.4439004727765144,0.776387071542521,,543807.0,,1,6,Bot,,,,,,,4.054346216505538,-127.0001502941111,-4.441160102637763,3.6198797583593274,26.40619876263585,-32.38287076594014,3.036581365,1.532480315,,,,87.7,2800,6.6,822831,669257,518692,690976,571970,808975,606192,681624,663656,53.92,,,,,,,,46,5,Slider,1,3,1,3,3,1,1,3,Infield shade,Standard,84,0.014,0.068,,,,-0.068,,-2,-2,0.279,0.279,27,29,28,30,3,2,6,1,,1,3.08,-0.41,0.41,41.7,,,,,
FS,2026-04-07,90.7,-1.58,5.44,"Yamamoto, Yoshinobu",662139,808967,,foul,,,,,14,Foul,R,L,R,TOR,LAD,S,,,2,1,2026,-1.55,0.35,0.0857175731012449,1.048199383542368,,543807.0,,1,6,Bot,,,,,,,7.534144153988008,-131.87097393961577,-5.601782784486321,-19.70919692639533,28.11209090634715,-27.056839476070284,3.036581365,1.532480315,192.0,67.5,30.0,91.2,1522,6.6,822831,669257,518692,690976,571970,808975,606192,681624,663656,53.88,,,,,,,,46,4,Split-Finger,1,3,1,3,3,1,1,3,Infield shade,Standard,229,-0.012,-0.065,64.7,8.4,,0.065,88.0,-2,-2,0.291,0.291,27,29,28,30,3,2,6,1,,1,2.43,1.55,-1.55,41.2,12.67961216706172,-16.75864492850648,45.11400030547474,35.75783620200397,27.00187859210056
FF,2026-04-07,95.1,-1.6,5.49,"Yamamoto, Yoshinobu",662139,808967,,ball,,,,,12,Ball,R,L,R,TOR,LAD,B,,,1,1,2026,-0.65,1.54,0.4813248126774778,4.3260650457016006,,543807.0,,1,6,Bot,,,,,,,6.878487196564294,-138.2972170902863,-0.7422595197807134,-9.855570058341716,31.893379715142128,-12.55905026169168,3.036581365,1.532480315,,,,95.2,2367,6.4,822831,669257,518692,690976,571970,808975,606192,681624,663656,54.05,,,,,,,,46,3,4-Seam Fastball,1,3,1,3,3,1,1,3,Infield shade,Standard,219,0.007,0.03,,,,-0.03,,-2,-2,0.284,0.284,27,29,28,30,3,2,6,1,,1,0.99,0.65,-0.65,40.9,,,,,
FF,2026-04-07,94.3,-1.83,5.44,"Yamamoto, Yoshinobu",662139,808967,,swinging_strike,,,,,2,Swinging Strike,R,L,R,TOR,LAD,S,,,1,0,2026,-0.72,1.43,0.2663828983406301,2.8342286255496982,,543807.0,,1,6,Bot,,,,,,,7.030094077914681,-137.11386810136278,-4.115845868624772,-10.64857286918841,31.416866894273326,-13.45692322035795,3.036581365,1.532480315,,,,94.5,2382,6.5,822831,669257,518692,690976,571970,808975,606192,681624,663656,53.99,,,,,,,,46,2,4-Seam Fastball,1,3,1,3,3,1,1,3,Infield shade,Standard,213,-0.007,-0.042,73.7,7.0,,0.042,,-2,-2,0.291,0.291,27,29,28,30,3,2,6,1,,1,1.15,0.72,-0.72,37.5,7.4527057376271,12.898575078390165,29.965736256862574,34.42566648093976,17.495617376939446
FF,2026-04-07,94.9,-1.5,5.62,"Yamamoto, Yoshinobu",662139,808967,,ball,,,,,11,Ball,R,L,R,TOR,LAD,B,,,0,0,2026,-0.81,1.38,-0.1559195674844329,4.345672877960329,,543807.0,,1,6,Bot,,,,,,,5.341617032744807,-138.07220207270538,-0.6634884333655164,-11.544253575758743,31.66907901084884,-14.643869662088562,3.036581365,1.532480315,,,,95.2,2266,6.6,822831,669257,518692,690976,571970,808975,606192,681624,663656,53.95,,,,,,,,46,1,4-Seam Fastball,1,3,1,3,3,1,1,3,Standard,Standard,216,0.004,0.028,,,,-0.028,,-2,-2,0.287,0.287,27,29,28,30,3,2,6,1,,1,1.16,0.81,-0.81,46.2,,,,,
