pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
CH,2026-04-13,84.5,1.71,5.88,"Judge, Aaron",592450,579328,home_run,hit_into_play,,,,,5,Aaron Judge homers (5) on a fly ball to left center field. Paul Goldschmidt scores.,R,R,L,NYY,LAA,X,,fly_ball,2,0,2026,0.76,0.41,-0.2604573736634882,2.8939058687440173,502671.0,,,0,1,Bot,46.84,31.47,,,,,-6.163802953456993,-122.91667360332704,-1.2465519269149037,8.906566301040327,23.21765361626412,-27.991973143535727,3.522785433,1.777854331,456.0,116.2,26.0,,1296.0,,823563,681351,694384,624428,660162,687263,666139,545361,666176,53.49,0.999,2.04,2.0,1.0,0.0,3.0,6.0,5,3,Changeup,0,0,0,0,0,2,2,0,Standard,Standard,141.0,0.091,0.842,81.1,8.0,3.997,-0.842,116.2,0,0,0.641,0.641,35,34,35,34,1,0,,,,,2.77,0.76,-0.76,,16.40359359945562,-6.11345794953602,36.53447036102126,39.96836315294581,34.25673981555882
CU,2026-04-13,78.3,1.63,5.9,"Judge, Aaron",592450,579328,,ball,,,,,13,Ball,R,R,L,NYY,LAA,B,,,1,0,2026,-0.18,-0.55,-0.8696040249012891,1.513852367961971,502671.0,,,0,1,Bot,,,,,,,-5.026802290754137,-113.91435350079264,-1.3335933062932486,-0.6505676570663631,20.95994115386185,-36.89792018502795,3.522785433,1.777854331,,,,,2334.0,,823563,681351,694384,624428,660162,687263,666139,545361,666176,53.63,,,,,,,,5,2,Curveball,0,0,0,0,0,0,0,0,Standard,Standard,327.0,0.007,0.039,,,,-0.039,,0,0,0.634,0.634,35,34,35,34,1,0,,,,,4.27,-0.18,0.18,,,,,,
CU,2026-04-13,76.1,1.66,6.06,"Judge, Aaron",592450,579328,,ball,,,,,12,Ball,R,R,L,NYY,LAA,B,,,0,0,2026,-0.19,-0.35,2.253579715306957,6.41136189532154,,502671.0,,0,1,Bot,,,,,,,1.580673847703081,-110.51171191412806,8.595479597057945,-1.816017612291798,18.936737458669025,-36.72809630855031,3.522785433,1.777854331,,,,,2278.0,,823563,681351,694384,624428,660162,687263,666139,545361,666176,53.87,,,,,,,,5,1,Curveball,0,0,0,0,0,0,0,0,Standard,Standard,312.0,0.027,0.032,,,,-0.032,,0,0,0.607,0.607,35,34,35,34,1,0,,,,,4.29,-0.19,0.19,,,,,,
SL,2026-04-13,91.4,-2.15,6.1,"Judge, Aaron",592450,641312,strikeout,swinging_strike,,,,,3,Aaron Judge strikes out swinging.,R,R,R,NYY,LAA,S,2.0,,1,2,2026,0.48,0.37,0.5508090283347373,3.1154105963412952,,502671.0,,1,4,Bot,,,,,,,5.704775208846059,-133.0745485957781,-2.2913081938963105,4.510674456406253,27.393014407252167,-27.440731908963244,3.522785433,1.777854331,,,,92.1,2838.0,6.6,823563,681351,694384,624428,660162,687263,666139,545361,666176,53.93,,0.0,0.0,1.0,0.0,0.0,,40,4,Slider,4,4,4,4,4,4,4,4,Standard,Standard,152.0,-0.03,-0.201,75.4,7.4,,0.201,,0,0,0.572,0.572,31,34,32,34,1,2,,,,,2.34,-0.48,-0.48,,2.3040252370030263,17.73879713242268,33.16661581064141,49.61929359074178,12.244682789275824
FF,2026-04-13,93.5,-2.23,6.02,"Judge, Aaron",592450,641312,,ball,,,,,11,Ball,R,R,R,NYY,LAA,B,,,0,2,2026,-0.2,1.23,-2.1099374495541854,6.466610932571879,,,502671.0,1,4,Bot,,,,,,,0.7558777938654835,-136.1003545874683,4.249141564367007,-2.589617487865445,30.276689450975677,-18.12196931280148,3.522785433,1.777854331,,,,93.7,2633.0,6.4,823563,681351,694384,624428,660162,687263,666139,545361,666176,54.07,,,,,,,,40,3,4-Seam Fastball,4,4,4,4,4,4,4,4,Standard,Standard,194.0,0.023,0.01,,,,-0.01,,0,0,0.549,0.549,31,34,32,34,1,2,,,,,1.38,0.2,0.2,,,,,,
SI,2026-04-13,93.7,-1.63,6.4,"Judge, Aaron",592450,641312,,called_strike,,,,,5,Called Strike,R,R,R,NYY,LAA,S,,,0,1,2026,-1.19,1.06,-0.088677350733048,2.4434309594907155,,,502671.0,1,4,Bot,,,,,,,6.623857689872205,-136.1852506796066,-6.576572369171741,-16.261420306655385,32.808637227724056,-17.73853353718443,3.522785433,1.777854331,,,,93.5,2403.0,6.4,823563,681351,694384,624428,660162,687263,666139,545361,666176,54.06,,,,,,,,40,2,Sinker,4,4,4,4,4,4,4,4,Standard,Standard,193.0,-0.009,-0.047,,,,0.047,,0,0,0.558,0.558,31,34,32,34,1,2,,,,,1.57,1.19,1.19,,,,,,
SI,2026-04-13,94.6,-1.93,6.33,"Judge, Aaron",592450,641312,,called_strike,,,,,7,Called Strike,R,R,R,NYY,LAA,S,,,0,0,2026,-1.0,1.06,-0.4951240329142892,2.142803971052082,,,502671.0,1,4,Bot,,,,,,,5.9922745948200085,-137.47481789534416,-7.403494229491256,-14.034164833046878,32.232806610145694,-17.27911516767458,3.522785433,1.777854331,,,,94.9,2482.0,6.7,823563,681351,694384,624428,660162,687263,666139,545361,666176,53.84,,,,,,,,40,1,Sinker,4,4,4,4,4,4,4,4,Standard,Standard,199.0,-0.005,-0.04,,,,0.04,,0,0,0.563,0.563,31,34,32,34,1,2,,,,,1.51,1.0,1.0,,,,,,
KC,2026-04-13,84.2,1.99,6.02,"Judge, Aaron",592450,519141,field_out,hit_into_play,,,,,4,Aaron Judge lines out sharply to center fielder Mike Trout.,R,R,L,NYY,LAA,X,8.0,line_drive,0,0,2026,-0.32,-0.7,-0.4981474039593858,2.6546066842650453,,,,0,8,Bot,123.82,55.02,,,,,-5.0617977522608495,-122.55603717915228,0.2312702150077989,-2.1529790241993285,25.396730505367955,-39.49758023794385,3.522785433,1.777854331,357.0,107.1,20.0,84.0,2208.0,6.3,823563,681351,694384,624428,660162,687263,666139,545361,666176,54.23,0.737,1.074,0.0,1.0,0.0,0.0,6.0,78,1,Knuckle Curve,8,10,8,10,10,8,8,10,Standard,Standard,332.0,-0.044,-0.259,74.9,7.8,1.831,0.259,107.1,-2,-2,0.167,0.167,37,34,38,34,1,4,,,,,3.93,-0.32,0.32,,9.968324584422,-4.842996886372903,37.31202113190571,38.24686931433548,25.758435967035183
FC,2026-04-12,90.4,-1.98,5.9,"Judge, Aaron",592450,656876,strikeout,called_strike,,,,,9,Aaron Judge called out on strikes.,R,R,R,TB,NYY,S,2.0,,3,2,2026,0.35,0.11,0.2795306330246175,1.6679201349939374,,,,1,4,Top,,,,,,,4.810397460341923,-131.48786575825042,-4.579357192543696,3.007128979659889,29.39815503798063,-30.150834318930617,3.522785433,1.777854331,,,,,2773.0,,822998,676439,666018,680700,691406,670764,802415,656775,641584,53.85,,0.0,0.0,1.0,0.0,0.0,,27,8,Cutter,3,0,0,3,0,3,0,3,Infield shade,Standard,107.0,0.019,-0.332,,,,0.332,,3,-3,0.832,0.168,30,34,31,34,2,1,11.0,1.0,,,2.7,-0.35,-0.35,,,,,,
SI,2026-04-12,96.3,-1.93,5.66,"Judge, Aaron",592450,656876,,foul,,,,,4,Foul,R,R,R,TB,NYY,S,,,3,2,2026,-1.39,0.84,-0.6660398077374872,2.564511516548561,,,,1,4,Top,,,,,,,6.565753923719716,-139.93443762085053,-4.279376615447957,-19.796299780276925,37.520235094620176,-20.334920926599064,3.522785433,1.777854331,4.0,71.2,-33.0,,2552.0,,822998,676439,666018,680700,691406,670764,802415,656775,641584,53.85,,,,,,,,27,7,Sinker,3,0,0,3,0,3,0,3,Infield shade,Strategic,207.0,0.0,0.0,74.7,8.2,,0.0,88.0,3,-3,0.832,0.168,30,34,31,34,2,1,11.0,1.0,,,1.66,1.39,1.39,,14.611038120327317,-6.345329577023082,37.05569015374406,35.31252719808954,28.993432993935688
FC,2026-04-12,90.9,-1.9,5.83,"Judge, Aaron",592450,656876,,ball,,,,,14,Ball,R,R,R,TB,NYY,B,,,2,2,2026,0.29,-0.08,0.8830200320828655,1.2806038236420043,,,,1,4,Top,,,,,,,6.286006831143558,-132.1307387570181,-5.045774719287958,1.9633964759966287,30.03329991726869,-32.126666348900905,3.522785433,1.777854331,,,,,2691.0,,822998,676439,666018,680700,691406,670764,802415,656775,641584,53.81,,,,,,,,27,6,Cutter,3,0,0,3,0,3,0,3,Infield shade,Strategic,140.0,-0.006,0.104,,,,-0.104,,3,-3,0.838,0.162,30,34,31,34,2,1,11.0,1.0,,,2.86,-0.29,-0.29,,,,,,
FC,2026-04-12,89.9,-1.88,5.91,"Judge, Aaron",592450,656876,,foul,,,,,7,Foul,R,R,R,TB,NYY,S,,,2,2,2026,0.58,-0.1,-0.3283039271081768,1.9070976539101143,,,,1,4,Top,,,,,,,2.556226010336061,-130.84474156727464,-3.454186343474781,5.989798561268174,29.845586856968552,-32.73373692180671,3.522785433,1.777854331,3.0,68.7,-30.0,90.0,2874.0,6.5,822998,676439,666018,680700,691406,670764,802415,656775,641584,53.97,,,,,,,,27,5,Cutter,3,0,0,3,0,3,0,3,Infield shade,Strategic,99.0,0.0,0.0,72.7,8.2,,0.0,88.0,3,-3,0.838,0.162,30,34,31,34,2,1,11.0,1.0,,,2.94,-0.58,-0.58,53.9,15.307128159527128,5.088320256620951,41.893859405044566,39.15940762816844,23.517290221070304
ST,2026-04-12,86.2,-2.15,5.66,"Judge, Aaron",592450,656876,,ball,,,,,14,Ball,R,R,R,TB,NYY,B,,,1,2,2026,0.84,-0.36,0.550908643537462,0.8237903644007427,,,,1,4,Top,,,,,,,4.600821550822369,-125.2975682195582,-4.159214963960624,7.73796792391845,28.998024463506663,-35.1802004136868,3.522785433,1.777854331,,,,,2913.0,,822998,676439,666018,680700,691406,670764,802415,656775,641584,53.9,,,,,,,,27,4,Sweeper,3,0,0,3,0,3,0,3,Infield shade,Strategic,48.0,-0.002,0.048,,,,-0.048,,3,-3,0.84,0.16,30,34,31,34,2,1,11.0,1.0,,,3.47,-0.84,-0.84,,,,,,
SI,2026-04-12,97.0,-1.83,5.72,"Judge, Aaron",592450,656876,,called_strike,,,,,5,Called Strike,R,R,R,TB,NYY,S,,,1,1,2026,-1.35,1.28,-0.1388973906002042,2.5721967414485656,,,,1,4,Top,,,,,,,7.63439976501757,-140.84950985948083,-5.605982855090277,-19.68756632108936,35.83365911004116,-14.090738240555842,3.522785433,1.777854331,,,,,2554.0,,822998,676439,666018,680700,691406,670764,802415,656775,641584,53.79,,,,,,,,27,3,Sinker,3,0,0,3,0,3,0,3,Infield shade,Strategic,208.0,0.003,-0.064,,,,0.064,,3,-3,0.837,0.163,30,34,31,34,2,1,11.0,1.0,,,1.18,1.35,1.35,,,,,,
FF,2026-04-12,97.5,-1.71,6.0,"Judge, Aaron",592450,656876,,foul,,,,,1,Foul,R,R,R,TB,NYY,S,,,1,0,2026,-0.43,1.4,-0.5365205780528441,3.479064496308939,,,,1,4,Top,,,,,,,4.139187625997318,-141.6635117992614,-4.231642837305674,-6.793361297362409,39.86356980788372,-12.708075516116295,3.522785433,1.777854331,202.0,72.7,42.0,97.1,2661.0,6.7,822998,676439,666018,680700,691406,670764,802415,656775,641584,53.81,,,,,,,,27,2,4-Seam Fastball,3,0,0,3,0,3,0,3,Infield shade,Strategic,198.0,0.004,-0.049,67.5,6.6,,0.049,88.0,3,-3,0.833,0.167,30,34,31,34,2,1,11.0,1.0,,,1.05,0.43,0.43,58.4,3.2182491880914523,10.463195015014817,34.82993732589792,36.27816569970193,14.320005925049342
ST,2026-04-12,85.0,-2.21,5.7,"Judge, Aaron",592450,656876,,ball,,,,,14,Ball,R,R,R,TB,NYY,B,,,0,0,2026,1.16,-0.18,1.3021769401257823,1.166220009449193,,,,1,4,Top,,,,,,,5.766300712010547,-123.47647957526344,-3.526466098036197,10.262525637444211,30.41844223510818,-33.32205367716113,3.522785433,1.777854331,,,,,2882.0,,822998,676439,666018,680700,691406,670764,802415,656775,641584,53.81,,,,,,,,27,1,Sweeper,3,0,0,3,0,3,0,3,Infield shade,Strategic,44.0,-0.003,0.039,,,,-0.039,,3,-3,0.836,0.164,30,34,31,34,2,1,11.0,1.0,,,3.4,-1.16,-1.16,,,,,,
SI,2026-04-12,94.0,-1.35,6.0,"Judge, Aaron",592450,669438,home_run,hit_into_play,,,,,6,Aaron Judge homers (4) on a fly ball to right center field. Ben Rice scores.,R,R,R,TB,NYY,X,,fly_ball,3,2,2026,-1.36,1.19,0.3810172033235441,2.771583762834513,,,700250.0,0,9,Top,164.98,36.15,,,,,7.462393189264679,-136.50388713554472,-5.04099847595091,-18.638740661580005,34.11928115035689,-16.34741400091926,3.522785433,1.777854331,415.0,108.9,31.0,93.2,2277.0,6.3,822998,663743,666018,810938,691406,670764,802415,656775,641584,54.23,0.963,1.953,2.0,1.0,0.0,3.0,6.0,66,8,Sinker,5,2,2,5,4,5,4,5,Infield shade,Strategic,215.0,-0.078,0.987,78.0,8.0,3.83,-0.987,108.9,3,-3,0.913,0.0869999999999999,26,34,27,34,1,3,5.0,1.0,,,1.43,1.36,1.36,39.4,16.649458187399908,10.786324762918062,34.031067431199006,45.5049344041599,25.084843868354067
SI,2026-04-12,96.7,-1.84,5.81,"Judge, Aaron",592450,656876,field_out,hit_into_play,,,,,11,Aaron Judge pops out to second baseman Richie Palacios.,R,R,R,TB,NYY,X,4.0,popup,2,1,2026,-1.49,1.15,-1.165912198084256,3.4265267080287707,,,,2,1,Top,129.49,123.98,,,,,5.257870233812492,-140.56769964062497,-3.2364940186759097,-20.970531259754004,35.7574140813201,-16.43832190622073,3.522785433,1.777854331,192.0,61.9,39.0,,2462.0,,822998,676439,666018,680700,691406,670764,802415,656775,641584,53.94,0.334,0.301,0.0,1.0,0.0,0.0,3.0,3,4,Sinker,0,0,0,0,0,0,0,0,Infield shade,Strategic,219.0,0.011,-0.296,72.1,7.2,0.352,0.296,88.0,0,0,0.537,0.4629999999999999,30,34,31,34,1,0,11.0,1.0,,,1.31,1.49,1.49,,8.477956477740767,-2.359175689027082,35.22087449554665,28.06035584639388,22.302687426481405
CU,2026-04-12,76.0,-1.38,5.98,"Judge, Aaron",592450,669438,,foul,,,,,11,Foul,R,R,R,TB,NYY,S,,,3,2,2026,1.19,-1.27,-0.8806796234193957,2.962596555693546,,,700250.0,0,9,Top,,,,,,,-1.1333486919916995,-110.5075559572461,3.440599902405686,9.798616401850795,24.27855990851981,-43.41996164488886,3.522785433,1.777854331,334.0,107.5,28.0,75.0,2795.0,6.1,822998,663743,666018,810938,691406,670764,802415,656775,641584,54.38,,,,,,,,66,7,Curveball,5,2,2,5,2,5,2,5,Infield shade,Strategic,33.0,0.0,0.0,71.8,8.2,,0.0,107.5,3,-3,0.913,0.0869999999999999,26,34,27,34,1,3,5.0,1.0,,,5.3,-1.19,-1.19,45.5,24.214518403647958,-30.1501718248409,36.01936928095058,29.410434671278303,43.75587704014044
CH,2026-04-12,88.7,-1.28,5.93,"Judge, Aaron",592450,669438,,ball,,,,,11,Ball,R,R,R,TB,NYY,B,,,2,2,2026,-1.34,0.0,-1.5160803759944173,2.794787026828822,,,700250.0,0,9,Top,,,,,,,2.2776160225703768,-129.12614663462764,-1.3509939894266694,-15.378029246928277,29.95212567469716,-32.05141254702733,3.522785433,1.777854331,,,,88.2,2134.0,6.2,822998,663743,666018,810938,691406,670764,802415,656775,641584,54.27,,,,,,,,66,6,Changeup,5,2,2,5,2,5,2,5,Infield shade,Strategic,240.0,-0.018,0.113,,,,-0.113,,3,-3,0.931,0.0689999999999999,26,34,27,34,1,3,5.0,1.0,,,2.92,1.34,1.34,38.2,,,,,
FC,2026-04-12,90.9,-2.08,5.89,"Judge, Aaron",592450,656876,,called_strike,,,,,9,Called Strike,R,R,R,TB,NYY,S,,,2,0,2026,0.36,0.31,0.7234677537665136,1.8509098512486748,,,,2,1,Top,,,,,,,6.170486720933454,-132.2033361922704,-4.653724896952331,2.880177006183399,29.24510860408649,-27.716650838278117,3.522785433,1.777854331,,,,,2629.0,,822998,676439,666018,680700,691406,670764,802415,656775,641584,53.85,,,,,,,,3,3,Cutter,0,0,0,0,0,0,0,0,Infield shade,Strategic,160.0,0.003,-0.066,,,,0.066,,0,0,0.534,0.4659999999999999,30,34,31,34,1,0,11.0,1.0,,,2.46,-0.36,-0.36,,,,,,
